node,degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality
"Sherraden, M.",15,0.001,0,0.0016,0.0369
"Neilands, T.B.",13,0.0008,0,0.0011,0.3076
S.,11,0.0007,0,0.0009,0.0
"Das, S.",11,0.0007,0,0.0007,0.0045
"Huang, J.",10,0.0006,0,0.0015,0.0129
"Cull, R.",10,0.0006,0,0.0007,0.0001
"Okello Candiya Bongomin, G.",10,0.0006,0,0.0006,0.0
"Singh, G.",9,0.0006,0,0.0006,0.2068
"Birkenmaier, J.",9,0.0006,0,0.0015,0.0088
A.,9,0.0006,0,0.0007,0.0
M.,8,0.0005,0,0.0005,0.0
"Simplice, S.A.",8,0.0005,0,0.0005,0.0
"Xiao, J.J.",8,0.0005,0,0.0011,0.0001
"Kim, K.T.",8,0.0005,0,0.0013,0.0004
"Ssewamala, F.M.",7,0.0004,0,0.0009,0.1908
"Byansi, W.",7,0.0004,0,0.0009,0.1908
"Awasthy, S.",7,0.0004,0,0.0005,0.1993
"Namuwonge, F.",7,0.0004,0,0.0009,0.1908
"Kassim, S.",7,0.0004,0,0.0005,0.0
"Zhang, Y.",7,0.0004,0,0.0014,0.0038
"Misra, R.",7,0.0004,0,0.0005,0.1993
"Dhal, S.",7,0.0004,0,0.0005,0.1993
"Allen, F.",7,0.0004,0,0.0005,0.0001
"Hussain, M.S.",7,0.0004,0,0.0004,0.1653
"Ssewamala, F.",7,0.0004,0,0.0013,0.1598
"Islam, M.M.",7,0.0004,0,0.0004,0.1653
D.,7,0.0004,0,0.0006,0.0
"Shaha, R.K.",7,0.0004,0,0.0004,0.1653
"Joy, S.N.",7,0.0004,0,0.0004,0.1653
"Ankon, M.U.",7,0.0004,0,0.0004,0.1653
"Nabunya, P.",7,0.0004,0,0.0009,0.1908
"Jitu, P.G.",7,0.0004,0,0.0004,0.1653
"Khobragade, A.",7,0.0004,0,0.0005,0.1993
"Balachandran, R.",7,0.0004,0,0.0005,0.1993
"Chayon, M.A.K.",7,0.0004,0,0.0004,0.1653
"Tunzina, T.",7,0.0004,0,0.0004,0.1653
"Gupta, B.",7,0.0004,0,0.0005,0.1993
"Saroy, R.",7,0.0004,0,0.0005,0.1993
"Md Nor, M.Z.M.",6,0.0004,0,0.0004,0.002
"Muhamed, N.A.",6,0.0004,0,0.0004,0.002
"Reddy, K.",6,0.0004,0,0.0004,0.0
"Ahmad, A.",6,0.0004,0,0.0004,0.002
"Ali, S.R.S.",6,0.0004,0,0.0004,0.002
"Debnath, P.",6,0.0004,0,0.0005,0.004
"Rastogi, S.",6,0.0004,0,0.0004,0.0
"Bhuyan, A.K.",6,0.0004,0,0.0005,0.004
"Brooks-Gunn, J.",6,0.0004,0,0.0011,0.1552
"Saha, A.",6,0.0004,0,0.0005,0.004
"Garfinkel, I.",6,0.0004,0,0.0011,0.1552
"Kanoo, R.",6,0.0004,0,0.0005,0.004
